unique_id	sequence_id	Species	Population	sample_common_name	sample_supplier_name	read_files	Coverage	read_type
1	D1_2	G. hofrichteri	Kythira	EastMed_slender	KYT_01	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D1_2_{}.fq.gz	5X	fastq_pe
2	D2	G. hofrichteri	Kythira	EastMed_slender	KYT_02	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D2_{}.fq.gz	5X	fastq_pe
3	D3_2	G. hofrichteri	Kythira	EastMed_slender	KYT_03	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D3_2_{}.fq.gz	5X	fastq_pe
4	D4	G. hofrichteri	Kythira	EastMed_slender	KYT_04	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D4_{}.fq.gz	5X	fastq_pe
5	D5	G. hofrichteri	Kythira	EastMed_slender	KYT_05	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D5_{}.fq.gz	5X	fastq_pe
6	D6	G. hofrichteri	Kythira	EastMed_slender	KYT_06	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D6_{}.fq.gz	5X	fastq_pe
7	D7	G. hofrichteri	Kythira	EastMed_slender	KYT_07	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D7_{}.fq.gz	5X	fastq_pe
8	D8	G. hofrichteri	Kythira	EastMed_slender	KYT_08	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D8_{}.fq.gz	5X	fastq_pe
9	D9	G. hofrichteri	Kythira	EastMed_slender	KYT_29	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D9_{}.fq.gz	5X	fastq_pe
10	D10	G. hofrichteri	Kythira	EastMed_slender	KYT_30	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D10_{}.fq.gz	5X	fastq_pe
11	D11	G. hofrichteri	Kythira	EastMed_slender	KYT_31	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D11_{}.fq.gz	15X	fastq_pe
12	D12	G. hofrichteri	Kythira	EastMed_slender	KYT_32	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D12_{}.fq.gz	15X	fastq_pe
13	D13	G. orientalis	Kythira	EastMed_stout	KYT_33	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D13_{}.fq.gz	15X	fastq_pe
14	D14	G. orientalis	Kythira	EastMed_stout	KYT_34	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D14_{}.fq.gz	15X	fastq_pe
15	D15	G. orientalis	Kythira	EastMed_stout	KYT_35	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D15_{}.fq.gz	5X	fastq_pe
16	D16	G. orientalis	Kythira	EastMed_stout	KYT_36	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D16_{}.fq.gz	5X	fastq_pe
17	D17	G. orientalis	Kythira	EastMed_stout	KYT_37	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D17_{}.fq.gz	5X	fastq_pe
18	D18	G. orientalis	Kythira	EastMed_stout	KYT_38	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D18_{}.fq.gz	5X	fastq_pe
19	D19	G. orientalis	Kythira	EastMed_stout	KYT_39	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D19_{}.fq.gz	5X	fastq_pe
20	D20	G. orientalis	Kythira	EastMed_stout	KYT_40	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D20_{}.fq.gz	5X	fastq_pe
21	D21	G. orientalis	Kythira	EastMed_stout	KYT_41	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D21_{}.fq.gz	5X	fastq_pe
22	D22	G. orientalis	Kythira	EastMed_stout	KYT_42	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D22_{}.fq.gz	5X	fastq_pe
23	D23	G. orientalis	Kythira	EastMed_stout	KYT_43	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/crete_pop_genomics/D23_{}.fq.gz	5X	fastq_pe
